                Game of the Rope - Description of the internal state
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
TRY  ASTM SAB  8 SAB 10 SAB  7 SAB  9 SAB  9  ASTM SAB  8 SAB  9 SAB 10 SAB  9 SAB 10 - - - . - - - -  -
TRY  ASTM SAB  9 SAB 10 SAB  7 SAB  9 SAB  9  ASTM SAB  8 SAB  9 SAB 10 SAB  9 SAB 10 - - - . - - - -  -
TRY  ASTM SAB  9 SAB 10 SAB  7 SAB  9 SAB 10  ASTM SAB  8 SAB  9 SAB 10 SAB  9 SAB 10 - - - . - - - -  -
TRY  ASTM SAB  9 SAB 10 SAB  7 SAB  9 SAB 10  ASTM SAB  8 SIP  9 SAB 10 SAB  9 SAB 10 6 - - . - - - -  -
TRY  ASTM SAB  9 SAB 10 SAB  7 SAB  9 SAB 10  ASTM SAB  8 SIP  9 SIP 10 SAB  9 SAB 10 6 7 - . - - - -  -
TRY  ASTM SAB  9 SIP 10 SAB  7 SAB  9 SAB 10  ASTM SAB  8 SIP  9 SIP 10 SAB  9 SAB 10 6 7 - . 1 - - -  -
TRY  ASTM SAB  9 SIP 10 SAB  7 SAB  9 SAB 10  ASTM SAB  8 SIP  9 SIP 10 SIP  9 SAB 10 6 7 8 . 1 - - -  -
TRY  ASTM SAB  9 SIP 10 SIP  7 SAB  9 SAB 10  ASTM SAB  8 SIP  9 SIP 10 SIP  9 SAB 10 6 7 8 . 1 2 - -  -
TRY  ASTM SAB  9 SIP 10 SIP  7 SIP  9 SAB 10  ASTM SAB  8 SIP  9 SIP 10 SIP  9 SAB 10 6 7 8 . 1 2 3 -  -
TRY  WATL SAB  9 SIP 10 SIP  7 SIP  9 SAB 10  ASTM SAB  8 SIP  9 SIP 10 SIP  9 SAB 10 6 7 8 . 1 2 3 -  -
